index,db_id,question,gold_sql,predicted_sql,execution_time,error,exact_result_match,exact_sql_match
11,pets_1,What is the first name of every student who has a dog but does not have a cat?,"SELECT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog' AND T1.stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')","SELECT DISTINCT Student.Fname
FROM Student
JOIN Has_Pet ON Student.StuID = Has_Pet.StuID
JOIN Pets ON Has_Pet.PetID = Pets.PetID
WHERE Pets.PetType = 'dog'
AND Student.StuID NOT IN (
    SELECT Has_Pet.StuID
    FROM Has_Pet
    JOIN Pets ON Has_Pet.PetID = Pets.PetID
    WHERE Pets.PetType = 'cat'
)",47.61,,False,False
12,pets_1,Find the average and maximum age for each type of pet.,"SELECT avg(pet_age) ,  max(pet_age) ,  pettype FROM pets GROUP BY pettype","SELECT PetType, AVG(pet_age), MAX(pet_age) FROM Pets GROUP BY PetType",44.15,,False,False
13,pets_1,What is the average and maximum age for each pet type?,"SELECT avg(pet_age) ,  max(pet_age) ,  pettype FROM pets GROUP BY pettype","SELECT PetType, AVG(pet_age), MAX(pet_age) FROM Pets GROUP BY PetType",47.42,,False,False
14,pets_1,Find the average weight for each pet type.,"SELECT avg(weight) ,  pettype FROM pets GROUP BY pettype","SELECT PetType, AVG(weight) FROM Pets GROUP BY PetType",42.44,,False,False
15,pets_1,What is the average weight for each type of pet?,"SELECT avg(weight) ,  pettype FROM pets GROUP BY pettype","SELECT PetType, AVG(weight) FROM Pets GROUP BY PetType",46.37,,False,False
16,pets_1,Find the number of pets for each student who has any pet and student id.,"SELECT count(*) ,  T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid","SELECT Has_Pet.StuID, COUNT(Has_Pet.PetID)
FROM Has_Pet
JOIN Student ON Has_Pet.StuID = Student.StuID
GROUP BY Has_Pet.StuID",45.79,,False,False
17,pets_1,"For students who have pets , how many pets does each student have ? list their ids instead of names .","select count(*) ,  t1.stuid from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid group by t1.stuid","SELECT Has_Pet.StuID, COUNT(Pets.PetID)
FROM Has_Pet
JOIN Pets ON Has_Pet.PetID = Pets.PetID
GROUP BY Has_Pet.StuID",45.84,,False,False
18,car_1,"How many models does each car maker produce? List maker full name, id and the number.","SELECT T1.FullName ,  T1.Id ,  count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id;","SELECT car_makers.FullName, car_makers.Id, COUNT(model_list.ModelId)
FROM car_makers
JOIN model_list ON car_makers.Id = model_list.Maker
GROUP BY car_makers.FullName, car_makers.Id",44.53,,True,False
19,car_1,"What is the full name of each car maker, along with its id and how many models it produces?","SELECT T1.FullName ,  T1.Id ,  count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id;","SELECT car_makers.Id, car_makers.FullName, COUNT(model_list.ModelId)
FROM car_makers
JOIN model_list ON car_makers.Id = model_list.Maker
GROUP BY car_makers.Id, car_makers.FullName",44.67,,False,False
20,car_1,Which model of the car has the minimum horsepower?,SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id ORDER BY T2.horsepower ASC LIMIT 1;,"SELECT car_names.Model
FROM car_names
JOIN cars_data ON car_names.MakeId = cars_data.Id
WHERE cars_data.Horsepower = (SELECT MIN(Horsepower) FROM cars_data WHERE Horsepower != '')",47.09,,False,False
21,car_1,What is the model of the car with the smallest amount of horsepower?,SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id ORDER BY T2.horsepower ASC LIMIT 1;,"SELECT car_names.Model
FROM car_names
JOIN cars_data ON car_names.MakeId = cars_data.Id
WHERE cars_data.Horsepower = (SELECT MIN(Horsepower) FROM cars_data WHERE Horsepower != '')
LIMIT 1",45.82,,True,False
22,car_1,Find the model of the car whose weight is below the average weight.,SELECT T1.model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.Weight  <  (SELECT avg(Weight) FROM CARS_DATA),"SELECT car_names.Model
FROM car_names
JOIN cars_data ON car_names.MakeId = cars_data.Id
WHERE cars_data.Weight < (SELECT AVG(Weight) FROM cars_data)",47.07,,True,False
23,car_1,What is the model for the car with a weight smaller than the average?,SELECT T1.model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.Weight  <  (SELECT avg(Weight) FROM CARS_DATA),"SELECT car_names.Model
FROM car_names
JOIN cars_data ON car_names.MakeId = cars_data.Id
WHERE cars_data.Weight < (SELECT AVG(Weight) FROM cars_data)",47.47,,True,False
24,car_1,Find the name of the makers that produced some cars in the year of 1970?,SELECT DISTINCT T1.Maker FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker JOIN CAR_NAMES AS T3 ON T2.model  =  T3.model JOIN CARS_DATA AS T4 ON T3.MakeId  =  T4.id WHERE T4.year  =  '1970';,"SELECT DISTINCT car_makers.Maker
FROM car_makers
JOIN model_list ON car_makers.Id = model_list.Maker
JOIN car_names ON model_list.ModelId = car_names.MakeId
JOIN cars_data ON car_names.MakeId = cars_data.Id
WHERE cars_data.Year = 1970",49.39,,False,False
25,car_1,What is the name of the different car makers who produced a car in 1970?,SELECT DISTINCT T1.Maker FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker JOIN CAR_NAMES AS T3 ON T2.model  =  T3.model JOIN CARS_DATA AS T4 ON T3.MakeId  =  T4.id WHERE T4.year  =  '1970';,"SELECT DISTINCT car_makers.Maker
FROM car_makers
JOIN model_list ON car_makers.Id = model_list.Maker
JOIN car_names ON model_list.ModelId = car_names.MakeId
JOIN cars_data ON car_names.MakeId = cars_data.Id
WHERE cars_data.Year = 1970",48.55,,False,False
26,car_1,What is the maker of the carr produced in the earliest year and what year was it?,"SELECT T2.Make ,  T1.Year FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T1.Year  =  (SELECT min(YEAR) FROM CARS_DATA);","SELECT car_makers.Maker, cars_data.Year
FROM car_makers
JOIN model_list ON car_makers.Id = model_list.Maker
JOIN car_names ON model_list.ModelId = car_names.MakeId
JOIN cars_data ON car_names.MakeId = cars_data.Id
WHERE cars_data.Year = (SELECT MIN(Year) FROM cars_data)
LIMIT 1",47.38,,False,False
27,car_1,How many car makers are there in each continents? List the continent name and the count.,"SELECT T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.continent JOIN car_makers AS T3 ON T2.CountryId  =  T3.Country GROUP BY T1.Continent;","SELECT continents.Continent, COUNT(DISTINCT car_makers.Id)
FROM car_makers
JOIN countries ON car_makers.Country = countries.CountryName
JOIN continents ON countries.Continent = continents.ContId
GROUP BY continents.Continent",41.43,,False,False
28,car_1,What is the name of each continent and how many car makers are there in each one?,"SELECT T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.continent JOIN car_makers AS T3 ON T2.CountryId  =  T3.Country GROUP BY T1.Continent;","SELECT continents.Continent, COUNT(DISTINCT car_makers.Id)
FROM continents
JOIN countries ON continents.ContId = countries.Continent
JOIN car_makers ON countries.CountryName = car_makers.Country
GROUP BY continents.Continent",44.82,,False,False
29,car_1,Which of the countries has the most car makers? List the country name.,SELECT T2.CountryName FROM CAR_MAKERS AS T1 JOIN COUNTRIES AS T2 ON T1.Country  =  T2.CountryId GROUP BY T1.Country ORDER BY Count(*) DESC LIMIT 1;,"SELECT countries.CountryName
FROM car_makers
JOIN countries ON car_makers.Country = countries.CountryName
GROUP BY countries.CountryName
ORDER BY COUNT(*) DESC
LIMIT 1",31.2,,False,False
30,car_1,What is the name of the country with the most car makers?,SELECT T2.CountryName FROM CAR_MAKERS AS T1 JOIN COUNTRIES AS T2 ON T1.Country  =  T2.CountryId GROUP BY T1.Country ORDER BY Count(*) DESC LIMIT 1;,"SELECT Country
FROM car_makers
GROUP BY Country
ORDER BY COUNT(*) DESC
LIMIT 1",34.67,,False,False
31,car_1,How many car models are produced by each maker ? Only list the count and the maker full name .,"select count(*) ,  t2.fullname from model_list as t1 join car_makers as t2 on t1.maker  =  t2.id group by t2.id;","SELECT COUNT(*), car_makers.FullName
FROM car_makers
JOIN model_list ON car_makers.Id = model_list.Maker
GROUP BY car_makers.FullName",38.3,,True,False
32,car_1,What is the number of car models that are produced by each maker and what is the id and full name of each maker?,"SELECT Count(*) ,  T2.FullName ,  T2.id FROM MODEL_LIST AS T1 JOIN CAR_MAKERS AS T2 ON T1.Maker  =  T2.Id GROUP BY T2.id;","SELECT car_makers.Id, car_makers.FullName, COUNT(model_list.ModelId)
FROM car_makers
JOIN model_list ON car_makers.Id = model_list.Maker
GROUP BY car_makers.Id, car_makers.FullName",39.19,,False,False
33,car_1,What is the accelerate of the car make amc hornet sportabout (sw)?,SELECT T1.Accelerate FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T2.Make  =  'amc hornet sportabout (sw)';,"SELECT cars_data.Accelerate
FROM cars_data
JOIN car_names ON cars_data.Id = car_names.MakeId
WHERE car_names.Make = 'amc hornet sportabout (sw)'",34.31,,True,False
34,car_1,How much does the car accelerate that makes amc hornet sportabout (sw)?,SELECT T1.Accelerate FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T2.Make  =  'amc hornet sportabout (sw)';,SELECT Accelerate FROM cars_data JOIN car_names ON cars_data.Id = car_names.MakeId WHERE car_names.Model = 'amc hornet sportabout (sw)',33.05,,False,False
35,car_1,How many car makers are there in france?,SELECT count(*) FROM CAR_MAKERS AS T1 JOIN COUNTRIES AS T2 ON T1.Country  =  T2.CountryId WHERE T2.CountryName  =  'france';,SELECT COUNT(*) FROM car_makers WHERE Country = 'France',33.34,,False,False
36,car_1,What is the number of makers of care in France?,SELECT count(*) FROM CAR_MAKERS AS T1 JOIN COUNTRIES AS T2 ON T1.Country  =  T2.CountryId WHERE T2.CountryName  =  'france';,"SELECT COUNT(DISTINCT car_makers.Id)
FROM car_makers
JOIN countries ON car_makers.Country = countries.CountryName
WHERE countries.CountryName = 'France'",34.13,,False,False
37,car_1,How many car models are produced in the usa?,SELECT count(*) FROM MODEL_LIST AS T1 JOIN CAR_MAKERS AS T2 ON T1.Maker  =  T2.Id JOIN COUNTRIES AS T3 ON T2.Country  =  T3.CountryId WHERE T3.CountryName  =  'usa';,"SELECT COUNT(*)
FROM car_makers
JOIN model_list ON car_makers.Id = model_list.Maker
WHERE car_makers.Country = 'usa'",34.73,,False,False
38,car_1,What is the count of the car models produced in the United States?,SELECT count(*) FROM MODEL_LIST AS T1 JOIN CAR_MAKERS AS T2 ON T1.Maker  =  T2.Id JOIN COUNTRIES AS T3 ON T2.Country  =  T3.CountryId WHERE T3.CountryName  =  'usa';,"SELECT COUNT(*)
FROM car_makers
JOIN model_list ON car_makers.Id = model_list.Maker
WHERE car_makers.Country = 'United States'",35.84,,False,False
39,car_1,What are all the makers and models?,"SELECT Maker ,  Model FROM MODEL_LIST;","SELECT car_makers.Maker, model_list.Model
FROM car_makers
JOIN model_list ON car_makers.Id = model_list.Maker",40.17,,False,False
40,car_1,What are the makers and models?,"SELECT Maker ,  Model FROM MODEL_LIST;","SELECT Make, Model FROM car_names",98.01,,False,False
41,car_1,What are the countries having at least one car maker? List name and id.,"SELECT T1.CountryName ,  T1.CountryId FROM COUNTRIES AS T1 JOIN CAR_MAKERS AS T2 ON T1.CountryId  =  T2.Country GROUP BY T1.CountryId HAVING count(*)  >=  1;","SELECT CountryId, CountryName
FROM countries
WHERE CountryId IN (
    SELECT DISTINCT Country
    FROM car_makers
)",35.68,,False,False
42,car_1,What are the names and ids of all countries with at least one car maker?,"SELECT T1.CountryName ,  T1.CountryId FROM COUNTRIES AS T1 JOIN CAR_MAKERS AS T2 ON T1.CountryId  =  T2.Country GROUP BY T1.CountryId HAVING count(*)  >=  1;","SELECT DISTINCT countries.CountryId, countries.CountryName
FROM countries
JOIN car_makers ON countries.CountryName = car_makers.Country
WHERE car_makers.Id IS NOT NULL",28.76,,False,False
43,car_1,What is the number of the cars with horsepower more than 150?,SELECT count(*) FROM CARS_DATA WHERE horsepower  >  150;,"SELECT COUNT(*)
FROM cars_data
WHERE CAST(Horsepower AS INTEGER) > 150",33.16,,False,False
44,car_1,What is the number of cars with a horsepower greater than 150?,SELECT count(*) FROM CARS_DATA WHERE horsepower  >  150;,"SELECT COUNT(*)
FROM cars_data
WHERE CAST(Horsepower AS INTEGER) > 150",60.98,,False,False
45,car_1,What is the average weight of cars each year?,"SELECT avg(Weight) ,  YEAR FROM CARS_DATA GROUP BY YEAR;","SELECT Year, AVG(Weight) FROM cars_data GROUP BY Year",35.73,,False,False
46,car_1,What is the average weight and year for each year?,"SELECT avg(Weight) ,  YEAR FROM CARS_DATA GROUP BY YEAR;","SELECT Year, AVG(Weight), AVG(Year)
FROM cars_data
GROUP BY Year",38.41,,False,False
47,car_1,Which countries in europe have at least 3 car manufacturers?,SELECT T1.CountryName FROM COUNTRIES AS T1 JOIN CONTINENTS AS T2 ON T1.Continent  =  T2.ContId JOIN CAR_MAKERS AS T3 ON T1.CountryId  =  T3.Country WHERE T2.Continent  =  'europe' GROUP BY T1.CountryName HAVING count(*)  >=  3;,"SELECT countries.CountryName
FROM countries
JOIN continents ON countries.Continent = continents.ContId
JOIN car_makers ON countries.CountryName = car_makers.Country
WHERE continents.Continent = 'Europe'
GROUP BY countries.CountryName
HAVING COUNT(DISTINCT car_makers.Id) >= 3",33.71,,False,False
48,car_1,What are the names of all European countries with at least 3 manufacturers?,SELECT T1.CountryName FROM COUNTRIES AS T1 JOIN CONTINENTS AS T2 ON T1.Continent  =  T2.ContId JOIN CAR_MAKERS AS T3 ON T1.CountryId  =  T3.Country WHERE T2.Continent  =  'europe' GROUP BY T1.CountryName HAVING count(*)  >=  3;,"SELECT countries.CountryName
FROM countries
JOIN car_makers ON countries.CountryName = car_makers.Country
WHERE countries.Continent = (SELECT ContId FROM continents WHERE Continent = 'Europe')
GROUP BY countries.CountryName
HAVING COUNT(DISTINCT car_makers.Id) >= 3",38.98,,False,False
49,car_1,What is the maximum horsepower and the make of the car models with 3 cylinders?,"SELECT T2.horsepower ,  T1.Make FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.cylinders  =  3 ORDER BY T2.horsepower DESC LIMIT 1;","SELECT MAX(cars_data.Horsepower), car_names.Make
FROM cars_data
JOIN car_names ON cars_data.Id = car_names.MakeId
WHERE cars_data.Cylinders = 3
GROUP BY car_names.Make",37.37,,False,False
50,car_1,What is the largest amount of horsepower for the models with 3 cylinders and what make is it?,"SELECT T2.horsepower ,  T1.Make FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.cylinders  =  3 ORDER BY T2.horsepower DESC LIMIT 1;","SELECT MAX(CAST(Horsepower AS INTEGER)), car_names.Make
FROM cars_data
JOIN car_names ON cars_data.Id = car_names.MakeId
WHERE cars_data.Cylinders = 3
GROUP BY car_names.Make
ORDER BY MAX(CAST(Horsepower AS INTEGER)) DESC
LIMIT 1",35.65,,False,False
51,car_1,"Which model saves the most gasoline? That is to say, have the maximum miles per gallon.",SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id ORDER BY T2.mpg DESC LIMIT 1;,"SELECT car_names.Model
FROM car_names
JOIN cars_data ON car_names.MakeId = cars_data.Id
WHERE cars_data.MPG = (SELECT MAX(CAST(MPG AS REAL)) FROM cars_data)",30.06,,False,False
52,car_1,What is the car model with the highest mpg ?,select t1.model from car_names as t1 join cars_data as t2 on t1.makeid  =  t2.id order by t2.mpg desc limit 1;,"SELECT car_names.Model
FROM car_names
JOIN cars_data ON car_names.MakeId = cars_data.Id
ORDER BY CAST(cars_data.MPG AS REAL) DESC
LIMIT 1",32.46,,False,False
53,car_1,What is the maximum accelerate for different number of cylinders?,"SELECT max(Accelerate) ,  Cylinders FROM CARS_DATA GROUP BY Cylinders;","SELECT Cylinders, MAX(Accelerate) FROM cars_data GROUP BY Cylinders",30.99,,False,False
54,car_1,What is the maximum accelerate for all the different cylinders?,"SELECT max(Accelerate) ,  Cylinders FROM CARS_DATA GROUP BY Cylinders;","SELECT Cylinders, MAX(Accelerate) FROM cars_data GROUP BY Cylinders",31.48,,False,False
55,car_1,Which model has the most version(make) of cars?,SELECT Model FROM CAR_NAMES GROUP BY Model ORDER BY count(*) DESC LIMIT 1;,"SELECT Model
FROM car_names
GROUP BY Model
ORDER BY COUNT(Make) DESC
LIMIT 1",31.36,,True,False
56,car_1,What model has the most different versions?,SELECT Model FROM CAR_NAMES GROUP BY Model ORDER BY count(*) DESC LIMIT 1;,"SELECT Model
FROM car_names
GROUP BY Model
ORDER BY COUNT(DISTINCT Make) DESC
LIMIT 1",34.42,,True,False
57,car_1,What is the number of car models created by the car maker American Motor Company?,SELECT count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker WHERE T1.FullName  =  'American Motor Company';,"SELECT COUNT(*)
FROM car_makers
JOIN model_list ON car_makers.Id = model_list.Maker
WHERE car_makers.FullName = 'American Motor Company'",35.88,,True,False
58,car_1,Which makers designed more than 3 car models? List full name and the id.,"SELECT T1.FullName ,  T1.Id FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id HAVING count(*)  >  3;","SELECT car_makers.FullName, car_makers.Id
FROM car_makers
JOIN model_list ON car_makers.Id = model_list.Maker
GROUP BY car_makers.Id, car_makers.FullName
HAVING COUNT(model_list.ModelId) > 3",34.05,,True,False
59,car_1,What are the names and ids of all makers with more than 3 models?,"SELECT T1.FullName ,  T1.Id FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id HAVING count(*)  >  3;","SELECT car_makers.Id, car_makers.Maker
FROM car_makers
JOIN model_list ON car_makers.Id = model_list.Maker
GROUP BY car_makers.Id, car_makers.Maker
HAVING COUNT(model_list.ModelId) > 3",36.29,,False,False
60,car_1,"For a volvo model, how many cylinders does the version with least accelerate have?",SELECT T1.cylinders FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T2.Model  =  'volvo' ORDER BY T1.accelerate ASC LIMIT 1;,"SELECT cars_data.Cylinders
FROM car_names
JOIN cars_data ON car_names.MakeId = cars_data.Id
WHERE car_names.Make = 'volvo'
ORDER BY cars_data.Accelerate
LIMIT 1",30.29,,False,False
61,car_1,How many cars have a larger accelerate than the car with the largest horsepower?,SELECT COUNT(*) FROM CARS_DATA WHERE Accelerate  >  ( SELECT Accelerate FROM CARS_DATA ORDER BY Horsepower DESC LIMIT 1 );,"SELECT COUNT(*)
FROM cars_data
WHERE Accelerate > (
    SELECT Accelerate
    FROM cars_data
    WHERE Horsepower = (
        SELECT MAX(Horsepower)
        FROM cars_data
    )
)",34.68,,True,False
62,car_1,What is the number of cars with a greater accelerate than the one with the most horsepower?,SELECT COUNT(*) FROM CARS_DATA WHERE Accelerate  >  ( SELECT Accelerate FROM CARS_DATA ORDER BY Horsepower DESC LIMIT 1 );,"SELECT COUNT(*)
FROM cars_data
WHERE Accelerate > (
    SELECT MAX(CAST(Horsepower AS REAL))
    FROM cars_data
)",29.79,,False,False
63,car_1,How many countries has more than 2 car makers ?,select count(*) from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country group by t1.countryid having count(*)  >  2,"SELECT Country
FROM car_makers
GROUP BY Country
HAVING COUNT(*) > 2",34.34,,False,False
64,car_1,What is the number of countries with more than 2 car makers ?,select count(*) from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country group by t1.countryid having count(*)  >  2,"SELECT COUNT(*)
FROM (
    SELECT Country
    FROM car_makers
    GROUP BY Country
    HAVING COUNT(*) > 2
) AS subquery",34.29,,False,False
65,car_1,"For the cars with 4 cylinders, which model has the largest horsepower?",SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.Cylinders  =  4 ORDER BY T2.horsepower DESC LIMIT 1;,"SELECT car_names.Model
FROM car_names
JOIN cars_data ON car_names.MakeId = cars_data.Id
WHERE cars_data.Cylinders = 4
ORDER BY CAST(cars_data.Horsepower AS INTEGER) DESC
LIMIT 1",35.2,,False,False
66,car_1,"For all of the 4 cylinder cars, which model has the most horsepower?",SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.Cylinders  =  4 ORDER BY T2.horsepower DESC LIMIT 1;,"SELECT car_names.Model
FROM car_names
JOIN cars_data ON car_names.MakeId = cars_data.Id
WHERE cars_data.Cylinders = 4
ORDER BY CAST(cars_data.Horsepower AS INTEGER) DESC
LIMIT 1",35.39,,False,False
67,car_1,What is the maximum miles per gallon of the car with 8 cylinders or produced before 1980 ?,select max(mpg) from cars_data where cylinders  =  8 or year  <  1980,SELECT MAX(MPG) FROM cars_data WHERE Cylinders = 8 OR Year < 1980,34.88,,True,True
68,car_1,What is the maximum mpg of the cars that had 8 cylinders or that were produced before 1980 ?,select max(mpg) from cars_data where cylinders  =  8 or year  <  1980,SELECT MAX(MPG) FROM cars_data WHERE Cylinders = 8 OR Year < 1980,36.03,,True,True
69,car_1,What are the name of the countries where there is not a single car maker?,SELECT CountryName FROM countries EXCEPT SELECT T1.CountryName FROM countries AS T1 JOIN CAR_MAKERS AS T2 ON T1.countryId  =  T2.Country;,"SELECT countries.CountryName
FROM countries
LEFT JOIN car_makers ON countries.CountryName = car_makers.Country
WHERE car_makers.Country IS NULL",37.19,,False,False
70,car_1,What are the names of the countries with no car makers?,SELECT CountryName FROM countries EXCEPT SELECT T1.CountryName FROM countries AS T1 JOIN CAR_MAKERS AS T2 ON T1.countryId  =  T2.Country;,"SELECT CountryName
FROM countries
WHERE CountryId NOT IN (
    SELECT DISTINCT Country
    FROM car_makers
    WHERE Country IS NOT NULL
)",34.73,,True,False
71,car_1,Which are the car makers which produce at least 2 models and more than 3 car makers ? List the id and the maker .,"select t1.id ,  t1.maker from car_makers as t1 join model_list as t2 on t1.id  =  t2.maker group by t1.id having count(*)  >=  2 intersect select t1.id ,  t1.maker from car_makers as t1 join model_list as t2 on t1.id  =  t2.maker join car_names as t3 on t2.model  =  t3.model group by t1.id having count(*)  >  3;","SELECT car_makers.Id, car_makers.Maker
FROM car_makers
JOIN model_list ON car_makers.Id = model_list.Maker
GROUP BY car_makers.Id, car_makers.Maker
HAVING COUNT(model_list.Model) >= 2 AND COUNT(DISTINCT car_makers.Maker) > 3",33.68,,False,False
72,car_1,What are the ids and makers of all car makers that produce at least 2 models and make more than 3 cars?,"SELECT T1.Id ,  T1.Maker FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id HAVING count(*)  >=  2 INTERSECT SELECT T1.Id ,  T1.Maker FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker JOIN CAR_NAMES AS T3 ON T2.model  =  T3.model GROUP BY T1.Id HAVING count(*)  >  3;","SELECT car_makers.Id, car_makers.Maker
FROM car_makers
JOIN model_list ON car_makers.Id = model_list.Maker
JOIN car_names ON model_list.ModelId = car_names.MakeId
GROUP BY car_makers.Id, car_makers.Maker
HAVING COUNT(DISTINCT model_list.Model) >= 2 AND COUNT(car_names.MakeId) > 3",38.19,,False,False
