序号,数据库,问题,Gold SQL,预测 SQL,正确执行结果,实际执行结果,耗时(s),结果匹配(修正),SQL精确匹配,结果匹配(原始),失败原因,错误信息
13,concert_singer,List all song names by singers above the average age.,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),"SELECT DISTINCT s.Song_Name
FROM singer s
WHERE s.Age > (SELECT AVG(Age) FROM singer)
LIMIT 100","Song_Name
You
Sun
Gentleman","Song_Name
You
Sun
Gentleman",29.99,True,False,True,,
14,concert_singer,What are all the song names by singers who are older than average?,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),"SELECT DISTINCT s.Song_Name
FROM singer s
WHERE s.Age > (SELECT AVG(Age) FROM singer)
LIMIT 100","Song_Name
You
Sun
Gentleman","Song_Name
You
Sun
Gentleman",29.84,True,False,True,,
15,concert_singer,Show location and name for all stadiums with a capacity between 5000 and 10000.,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT Location, Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000 LIMIT 100",(empty),(empty),26.67,True,False,True,,
16,concert_singer,What are the locations and names of all stations with capacity between 5000 and 10000?,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT Location, Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000 LIMIT 100",(empty),(empty),26.02,True,False,True,,
17,concert_singer,What is the maximum capacity and the average of all stadiums ?,"select max(capacity), average from stadium","SELECT MAX(Capacity) AS max_capacity, AVG(Capacity) AS avg_capacity FROM stadium","max(capacity)	Average
52500	730","max_capacity	avg_capacity
52500	10621.666666666666",29.48,False,False,False,列别名差异,
18,concert_singer,What is the average and maximum capacities for all stadiums ?,"select avg(capacity) ,  max(capacity) from stadium","SELECT AVG(Capacity) AS average_capacity, MAX(Capacity) AS maximum_capacity FROM stadium","avg(capacity)	max(capacity)
10621.666666666666	52500","average_capacity	maximum_capacity
10621.666666666666	52500",31.42,True,False,False,,
19,concert_singer,What is the name and capacity for the stadium with highest average attendance?,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT Name, Capacity FROM stadium ORDER BY Average DESC LIMIT 1","Name	Capacity
Stark's Park	10104","Name	Capacity
Stark's Park	10104",29.09,True,False,True,,
20,concert_singer,What is the name and capacity for the stadium with the highest average attendance?,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT Name, Capacity FROM stadium ORDER BY Average DESC LIMIT 1","Name	Capacity
Stark's Park	10104","Name	Capacity
Stark's Park	10104",28.28,True,False,True,,
21,concert_singer,How many concerts are there in year 2014 or 2015?,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,SELECT COUNT(*) FROM concert WHERE Year = '2014' OR Year = '2015',6,6,28.33,True,False,False,,
22,concert_singer,How many concerts occurred in 2014 or 2015?,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,"SELECT COUNT(*) FROM concert WHERE Year IN ('2014', '2015')",6,6,28.25,True,False,False,,
23,concert_singer,Show the stadium name and the number of concerts in each stadium.,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT s.Name, COUNT(c.concert_ID) AS concert_count
FROM stadium s
LEFT JOIN concert c ON s.Stadium_ID = c.Stadium_ID
GROUP BY s.Stadium_ID, s.Name
LIMIT 100","Name	count(*)
Stark's Park	1
Glebe Park	1
Somerset Park	2
Recreation Park	1
Balmoor	1","Name	concert_count
Stark's Park	1
Somerset Park	2
Bayview Stadium	0
Hampden Park	0
Forthbank Stadium	0
... (9 rows total)",32.69,False,False,False,多余的 LIMIT,
24,concert_singer,"For each stadium, how many concerts play there?","SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT s.Stadium_ID, s.Name, COUNT(c.concert_ID) AS concert_count
FROM stadium s
LEFT JOIN concert c ON s.Stadium_ID = c.Stadium_ID
GROUP BY s.Stadium_ID, s.Name
LIMIT 100","Name	count(*)
Stark's Park	1
Glebe Park	1
Somerset Park	2
Recreation Park	1
Balmoor	1","Stadium_ID	Name	concert_count
1	Stark's Park	1
2	Somerset Park	2
3	Bayview Stadium	0
4	Hampden Park	0
5	Forthbank Stadium	0
... (9 rows total)",32.24,False,False,False,多余的 LIMIT,
25,concert_singer,Show the stadium name and capacity with most number of concerts in year 2014 or after.,"SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1","SELECT s.Name, s.Capacity
FROM stadium s
JOIN concert c ON s.Stadium_ID = c.Stadium_ID
WHERE CAST(c.Year AS INTEGER) >= 2014
GROUP BY s.Stadium_ID, s.Name, s.Capacity
ORDER BY COUNT(*) DESC
LIMIT 1","Name	Capacity
Somerset Park	11998","Name	Capacity
Somerset Park	11998",29.63,True,False,True,,
26,concert_singer,What is the name and capacity of the stadium with the most concerts after 2013 ?,"select t2.name ,  t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  >  2013 group by t2.stadium_id order by count(*) desc limit 1","SELECT s.Name, s.Capacity
FROM stadium s
JOIN concert c ON s.Stadium_ID = c.Stadium_ID
WHERE CAST(c.Year AS INTEGER) > 2013
GROUP BY s.Stadium_ID, s.Name, s.Capacity
ORDER BY COUNT(*) DESC
LIMIT 1","Name	Capacity
Somerset Park	11998","Name	Capacity
Somerset Park	11998",30.01,True,False,True,,
27,concert_singer,Which year has most number of concerts?,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,"SELECT Year, COUNT(*) AS concert_count
FROM concert
GROUP BY Year
ORDER BY concert_count DESC
LIMIT 1",2015,"Year	concert_count
2015	3",28.39,False,False,False,列别名差异,
28,concert_singer,What is the year that had the most concerts?,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,"SELECT Year, COUNT(*) AS concert_count
FROM concert
GROUP BY Year
ORDER BY concert_count DESC
LIMIT 1",2015,"Year	concert_count
2015	3",29.2,False,False,False,列别名差异,
29,concert_singer,Show the stadium names without any concert.,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),"SELECT s.Name
FROM stadium s
LEFT JOIN concert c ON s.Stadium_ID = c.Stadium_ID
WHERE c.concert_ID IS NULL
LIMIT 100","Name
Bayview Stadium
Hampden Park
Forthbank Stadium
Gayfield Park","Name
Bayview Stadium
Hampden Park
Forthbank Stadium
Gayfield Park",30.18,True,False,True,,
30,concert_singer,What are the names of the stadiums without any concerts?,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),"SELECT s.Name
FROM stadium s
LEFT JOIN concert c ON s.Stadium_ID = c.Stadium_ID
WHERE c.concert_ID IS NULL
LIMIT 100","Name
Bayview Stadium
Hampden Park
Forthbank Stadium
Gayfield Park","Name
Bayview Stadium
Hampden Park
Forthbank Stadium
Gayfield Park",29.44,True,False,True,,
31,concert_singer,Show countries where a singer above age 40 and a singer below 30 are from.,SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30,"SELECT DISTINCT s1.Country
FROM singer s1
JOIN singer s2 ON s1.Country = s2.Country
WHERE s1.Age > 40 AND s2.Age < 30
LIMIT 100",France,France,31.01,True,False,True,,
32,concert_singer,Show names for all stadiums except for stadiums having a concert in year 2014.,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,SELECT Name FROM stadium WHERE Stadium_ID NOT IN (SELECT Stadium_ID FROM concert WHERE Year = '2014') LIMIT 100,"Name
Balmoor
Bayview Stadium
Forthbank Stadium
Gayfield Park
Hampden Park
... (6 rows total)","Name
Bayview Stadium
Hampden Park
Forthbank Stadium
Gayfield Park
Recreation Park
... (6 rows total)",29.85,True,False,True,,
33,concert_singer,What are the names of all stadiums that did not have a concert in 2014?,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,"SELECT s.Name
FROM stadium s
WHERE s.Stadium_ID NOT IN (
    SELECT DISTINCT c.Stadium_ID
    FROM concert c
    WHERE c.Year = '2014'
)
LIMIT 100","Name
Balmoor
Bayview Stadium
Forthbank Stadium
Gayfield Park
Hampden Park
... (6 rows total)","Name
Bayview Stadium
Hampden Park
Forthbank Stadium
Gayfield Park
Recreation Park
... (6 rows total)",30.51,True,False,True,,
34,concert_singer,Show the name and theme for all concerts and the number of singers in each concert.,"SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id","SELECT c.concert_Name, c.Theme, COUNT(sic.Singer_ID) AS singer_count
FROM concert c
LEFT JOIN singer_in_concert sic ON c.concert_ID = sic.concert_ID
GROUP BY c.concert_ID, c.concert_Name, c.Theme
LIMIT 100","concert_Name	Theme	count(*)
Auditions	Free choice	3
Super bootcamp	Free choice 2	2
Home Visits	Bleeding Love	1
Week 1	Wide Awake	1
Week 1	Happy Tonight	2
... (6 rows total)","concert_Name	Theme	singer_count
Auditions	Free choice	3
Super bootcamp	Free choice 2	2
Home Visits	Bleeding Love	1
Week 1	Wide Awake	1
Week 1	Happy Tonight	2
... (6 rows total)",36.22,True,False,False,,
35,concert_singer,"What are the names , themes , and number of singers for every concert ?","select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id","SELECT c.concert_Name, c.Theme, COUNT(sic.Singer_ID) AS number_of_singers
FROM concert c
LEFT JOIN singer_in_concert sic ON c.concert_ID = sic.concert_ID
GROUP BY c.concert_ID, c.concert_Name, c.Theme
LIMIT 100","concert_Name	Theme	count(*)
Auditions	Free choice	3
Super bootcamp	Free choice 2	2
Home Visits	Bleeding Love	1
Week 1	Wide Awake	1
Week 1	Happy Tonight	2
... (6 rows total)","concert_Name	Theme	number_of_singers
Auditions	Free choice	3
Super bootcamp	Free choice 2	2
Home Visits	Bleeding Love	1
Week 1	Wide Awake	1
Week 1	Happy Tonight	2
... (6 rows total)",34.26,True,False,False,,
36,concert_singer,List singer names and number of concerts for each singer.,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT s.Name, COUNT(sic.concert_ID) AS number_of_concerts
FROM singer s
LEFT JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
GROUP BY s.Singer_ID, s.Name
LIMIT 100","Name	count(*)
Timbaland	2
Justin Brown	3
Rose White	1
John Nizinik	2
Tribal King	2","Name	number_of_concerts
Joe Sharp	0
Timbaland	2
Justin Brown	3
Rose White	1
John Nizinik	2
... (6 rows total)",32.5,False,False,False,多余的 LIMIT,
37,concert_singer,What are the names of the singers and number of concerts for each person?,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT s.Name, COUNT(sic.concert_ID) AS number_of_concerts
FROM singer s
LEFT JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
GROUP BY s.Singer_ID, s.Name
LIMIT 100","Name	count(*)
Timbaland	2
Justin Brown	3
Rose White	1
John Nizinik	2
Tribal King	2","Name	number_of_concerts
Joe Sharp	0
Timbaland	2
Justin Brown	3
Rose White	1
John Nizinik	2
... (6 rows total)",32.79,False,False,False,多余的 LIMIT,
38,concert_singer,List all singer names in concerts in year 2014.,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,"SELECT DISTINCT s.Name
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
JOIN concert c ON sic.concert_ID = c.concert_ID
WHERE c.Year = '2014'
LIMIT 100","Name
Timbaland
Justin Brown
John Nizinik
Justin Brown
Tribal King
... (6 rows total)","Name
Timbaland
Justin Brown
John Nizinik
Tribal King
Rose White",30.67,True,False,True,,
39,concert_singer,What are the names of the singers who performed in a concert in 2014?,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,"SELECT DISTINCT s.Name
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
JOIN concert c ON sic.concert_ID = c.concert_ID
WHERE c.Year = '2014'
LIMIT 100","Name
Timbaland
Justin Brown
John Nizinik
Justin Brown
Tribal King
... (6 rows total)","Name
Timbaland
Justin Brown
John Nizinik
Tribal King
Rose White",31.18,True,False,True,,
40,concert_singer,what is the name and nation of the singer who have a song having 'Hey' in its name?,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'","SELECT Name, Country FROM singer WHERE Song_Name LIKE '%Hey%' LIMIT 100","Name	Country
Justin Brown	France","Name	Country
Justin Brown	France",28.97,True,False,True,,
41,concert_singer,What is the name and country of origin of every singer who has a song with the word 'Hey' in its title?,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'","SELECT Name, Country FROM singer WHERE Song_Name LIKE '%Hey%' LIMIT 100","Name	Country
Justin Brown	France","Name	Country
Justin Brown	France",30.33,True,False,True,,
42,concert_singer,Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015.,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015","SELECT DISTINCT s.Name, s.Location
FROM stadium s
JOIN concert c ON s.Stadium_ID = c.Stadium_ID
WHERE c.Year IN ('2014', '2015')
GROUP BY s.Stadium_ID
HAVING COUNT(DISTINCT c.Year) = 2
LIMIT 100","Name	Location
Somerset Park	Ayr United","Name	Location
Somerset Park	Ayr United",32.46,True,False,True,,
43,concert_singer,What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015?,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015","SELECT DISTINCT s.Name, s.Location
FROM stadium s
JOIN concert c ON s.Stadium_ID = c.Stadium_ID
WHERE c.Year IN ('2014', '2015')
GROUP BY s.Stadium_ID
HAVING COUNT(DISTINCT c.Year) = 2
LIMIT 100","Name	Location
Somerset Park	Ayr United","Name	Location
Somerset Park	Ayr United",31.22,True,False,True,,
44,concert_singer,Find the number of concerts happened in the stadium with the highest capacity .,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),"SELECT COUNT(*) 
FROM concert 
WHERE Stadium_ID = (
    SELECT Stadium_ID 
    FROM stadium 
    ORDER BY Capacity DESC 
    LIMIT 1
)",0,0,29.53,True,False,False,,
45,concert_singer,What are the number of concerts that occurred in the stadium with the largest capacity ?,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),"SELECT COUNT(*) 
FROM concert 
WHERE Stadium_ID = (
    SELECT Stadium_ID 
    FROM stadium 
    ORDER BY Capacity DESC 
    LIMIT 1
)",0,0,29.18,True,False,False,,
46,pets_1,Find the number of pets whose weight is heavier than 10.,SELECT count(*) FROM pets WHERE weight  >  10,SELECT COUNT(*) FROM Pets WHERE weight > 10,2,2,28.67,True,True,False,,
47,pets_1,How many pets have a greater weight than 10?,SELECT count(*) FROM pets WHERE weight  >  10,SELECT COUNT(*) FROM Pets WHERE weight > 10,2,2,30.58,True,True,False,,
48,pets_1,Find the weight of the youngest dog.,SELECT weight FROM pets ORDER BY pet_age LIMIT 1,SELECT weight FROM Pets WHERE PetType = 'dog' ORDER BY pet_age ASC LIMIT 1,9.3,9.3,30.67,True,False,True,,
49,pets_1,How much does the youngest dog weigh?,SELECT weight FROM pets ORDER BY pet_age LIMIT 1,SELECT weight FROM Pets WHERE PetType = 'dog' ORDER BY pet_age ASC LIMIT 1,9.3,9.3,29.82,True,False,True,,
50,pets_1,Find the maximum weight for each type of pet. List the maximum weight and pet type.,"SELECT max(weight) ,  petType FROM pets GROUP BY petType","SELECT PetType, MAX(weight) AS maximum_weight
FROM Pets
GROUP BY PetType
LIMIT 100","max(weight)	PetType
12.0	cat
13.4	dog","PetType	maximum_weight
cat	12.0
dog	13.4",30.24,False,False,False,多余的 LIMIT,
51,pets_1,List the maximum weight and type for each type of pet.,"SELECT max(weight) ,  petType FROM pets GROUP BY petType","SELECT PetType, MAX(weight) AS max_weight
FROM Pets
GROUP BY PetType
LIMIT 100","max(weight)	PetType
12.0	cat
13.4	dog","PetType	max_weight
cat	12.0
dog	13.4",30.37,False,False,False,多余的 LIMIT,
52,pets_1,Find number of pets owned by students who are older than 20.,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20,"SELECT COUNT(*) 
FROM Has_Pet hp 
JOIN Student s ON hp.StuID = s.StuID 
WHERE s.Age > 20 
LIMIT 100",0,0,30.08,True,False,False,,
53,pets_1,How many pets are owned by students that have an age greater than 20?,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20,"SELECT COUNT(*) 
FROM Has_Pet hp 
JOIN Student s ON hp.StuID = s.StuID 
WHERE s.Age > 20",0,0,29.76,True,False,False,,
54,pets_1,Find the number of dog pets that are raised by female students (with sex F).,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog',"SELECT COUNT(*) 
FROM Has_Pet hp 
JOIN Pets p ON hp.PetID = p.PetID 
JOIN Student s ON hp.StuID = s.StuID 
WHERE p.PetType = 'dog' AND s.Sex = 'F'",2,2,30.62,True,False,False,,
55,pets_1,How many dog pets are raised by female students?,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog',"SELECT COUNT(*) 
FROM Has_Pet hp 
JOIN Student s ON hp.StuID = s.StuID 
JOIN Pets p ON hp.PetID = p.PetID 
WHERE p.PetType = 'dog' AND s.Sex = 'F'",2,2,29.81,True,False,False,,
56,pets_1,Find the number of distinct type of pets.,SELECT count(DISTINCT pettype) FROM pets,SELECT COUNT(DISTINCT PetType) FROM Pets LIMIT 100,2,2,28.62,True,False,False,,
57,pets_1,How many different types of pet are there?,SELECT count(DISTINCT pettype) FROM pets,SELECT COUNT(DISTINCT PetType) FROM Pets,2,2,28.37,True,True,False,,
58,pets_1,Find the first name of students who have cat or dog pet.,SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' OR T3.pettype  =  'dog',"SELECT DISTINCT Student.Fname
FROM Student
JOIN Has_Pet ON Student.StuID = Has_Pet.StuID
JOIN Pets ON Has_Pet.PetID = Pets.PetID
WHERE Pets.PetType IN ('cat', 'dog')
LIMIT 100","Fname
Linda
Tracy","Fname
Linda
Tracy",30.27,True,False,True,,
59,pets_1,What are the first names of every student who has a cat or dog as a pet?,SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' OR T3.pettype  =  'dog',"SELECT DISTINCT s.Fname
FROM Student s
JOIN Has_Pet hp ON s.StuID = hp.StuID
JOIN Pets p ON hp.PetID = p.PetID
WHERE p.PetType IN ('cat', 'dog')
LIMIT 100","Fname
Linda
Tracy","Fname
Linda
Tracy",30.81,True,False,True,,
60,pets_1,Find the first name of students who have both cat and dog pets .,select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'cat' intersect select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'dog',"SELECT DISTINCT s.Fname
FROM Student s
JOIN Has_Pet hp1 ON s.StuID = hp1.StuID
JOIN Pets p1 ON hp1.PetID = p1.PetID AND p1.PetType = 'cat'
JOIN Has_Pet hp2 ON s.StuID = hp2.StuID
JOIN Pets p2 ON hp2.PetID = p2.PetID AND p2.PetType = 'dog'
LIMIT 100",(empty),(empty),29.6,True,False,True,,
61,pets_1,What are the students' first names who have both cats and dogs as pets?,SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' INTERSECT SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog',"SELECT DISTINCT s.Fname
FROM Student s
JOIN Has_Pet hp1 ON s.StuID = hp1.StuID
JOIN Pets p1 ON hp1.PetID = p1.PetID AND p1.PetType = 'cat'
JOIN Has_Pet hp2 ON s.StuID = hp2.StuID
JOIN Pets p2 ON hp2.PetID = p2.PetID AND p2.PetType = 'dog'
LIMIT 100",(empty),(empty),29.73,True,False,True,,
62,pets_1,Find the major and age of students who do not have a cat pet.,"SELECT major ,  age FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')","SELECT DISTINCT s.Major, s.Age
FROM Student s
WHERE s.StuID NOT IN (
    SELECT hp.StuID
    FROM Has_Pet hp
    JOIN Pets p ON hp.PetID = p.PetID
    WHERE p.PetType = 'cat'
)
LIMIT 100","Major	Age
600	19
600	21
600	20
600	26
600	18
... (33 rows total)","Major	Age
600	19
600	21
600	20
600	26
600	18
... (21 rows total)",32.55,True,False,True,,
63,pets_1,"What major is every student who does not own a cat as a pet, and also how old are they?","SELECT major ,  age FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')","SELECT s.Major, s.Age
FROM Student s
WHERE s.StuID NOT IN (
    SELECT hp.StuID
    FROM Has_Pet hp
    JOIN Pets p ON hp.PetID = p.PetID
    WHERE p.PetType = 'cat'
)
LIMIT 100","Major	Age
600	19
600	21
600	20
600	26
600	18
... (33 rows total)","Major	Age
600	19
600	21
600	20
600	26
600	18
... (33 rows total)",33.13,True,False,True,,
